Country_Name;unemployment rate in %
France ;7,4
Germany ;2,9
Euro zone ;7,6
United Kingdom ;3,8
Spain ;13,5
United States ;3,6
Japon ;2,6
Italie ;8,3
Portugal ;5,7
Greece ;12,9
Irlande ;4,8
Argentina ;8,5
Austria ;4,2
Australie ;4,0
Belgium ;5,6
Bulgarie ;4,3
Brésil ;13,2
Canada ;5,2
Switzerland ;4,5
Chili ;7,8
Colombie ;11,0
Chypre ;5,9
Tchéquie ;2,3
Danemark ;4,5
Estonie ;5,4
Finlande ;6,4
Croatie ;6,5
Hongrie ;3,2
Islande ;4,3
Lituanie ;6,9
Luxembourg ;4,5
Lettonie ;7,0
Malte ;3,0
Mexico ;3,0
Netherlands ;3,3
Norvège ;3,1
Poland ;3,0
Romania ;5,7
Russie ;4,3
Suède ;7,6
Slovénie ;4,0
Slovakia ;6,5
Turquie ;11,2
Uruguay ;9,4
Venezuela ;6,4
South Africa ;35,3
